AppID,Name,Discount,Price,Rating,Release,Ends,Started
564310,Serious Sam Fusion 2017 (beta),0.0,5.99,89.73,,1,-6
1335230,Sumire,0.0,3.07,89.67,2021-05,5,-2
256290,Child of Light,0.0,13.49,89.63,2014-04,9,-5
616250,Crystalline,0.0,14.99,89.57,2018-08,5,-2
275390,Guacamelee! Super Turbo Championship Edition,0.0,11.74,89.49,2014-08,5,-2
701160,Kingdom Two Crowns,0.0,14.99,89.33,2018-12,12,-2
322500,SUPERHOT,0.0,17.99,89.24,2016-02,14,0
1084020,TheoTown,0.0,7.96,89.24,2019-06,5,-2
656350,UnderMine,0.0,13.29,89.15,2020-08,5,-2
1182900,A Plague Tale: Requiem,0.0,91.16,89.15,2022-10,13,0
108710,Alan Wake,0.0,11.87,89.07,2012-02,5,-2
757320,Atomicrops,0.0,9.39,89.03,2020-09,12,-2
6220,FlatOut,0.0,13.99,89.03,2005-07,-13,0
274350,Dropsy,0.0,3.29,88.99,2015-09,1,-6
599610,Lost Words: Beyond the Page,0.0,11.59,88.99,2021-04,5,-2
15370,Heroes of Might & Magic V: Tribes of the East,0.0,7.49,88.97,2007-10,9,-5
631570,Whispers of a Machine,0.0,9.39,88.92,2019-04,12,-2
1724050,Furry Shades of Gay 2: A Shade Gayer,0.0,16.49,88.9,2021-12,8,-6
1221250,NORCO,0.0,18.79,88.78,2022-03,1,-13
2100,Dark Messiah of Might & Magic,0.0,7.49,88.67,2006-10,9,-5
422510,DEMON'S TILT,0.0,18.99,88.66,2019-12,5,-2
559330,A Fisherman's Tale,0.0,14.98,88.6,2019-01,12,-2
20920,The Witcher 2: Assassins of Kings Enhanced Edition,0.0,8.99,88.29,2011-05,4,-6
415420,Nyan Cat: Lost In Space,0.0,5.44,88.28,2015-12,9,-5
829110,LEGO® DC Super-Villains,0.0,26.99,88.24,2018-10,12,-2
437920,Tricky Towers,0.0,18.79,88.24,2016-08,14,0
455400,PAC-MAN 256,0.0,5.24,88.22,2016-06,6,-1
1229580,Disc Room,0.0,15.5,88.21,2020-10,1,-6
865040,Super Bit Blaster XL,0.0,2.34,88.18,2020-03,5,-2
476240,KNIGHTS,0.0,1.74,88.17,2016-05,14,0
1196630,Nexomon: Extinction,0.0,20.99,88.1,2020-08,14,0
982270,Dealer's Life,0.0,14.99,87.88,2019-01,4,-10
214510,LEGO® The Lord of the Rings™,0.0,22.49,87.82,2012-11,12,-2
38740,EDGE,0.0,1.81,87.76,2011-08,5,-2
210770,Sanctum 2,0.0,9.39,87.74,2013-05,6,-8
233150,LUFTRAUSERS,0.0,6.59,87.7,2014-03,1,-6
616110,SPACEPLAN,0.0,3.46,87.64,2017-05,1,-6
1354910,Tiny Lands,0.0,11.75,87.63,2021-01,5,-1
538070,Bad Dream: Coma,0.0,2.99,87.55,2017-03,5,-2
242050,Assassin’s Creed® IV Black Flag™,0.0,35.99,87.53,,4,-7
241260,Sherlock Holmes: Crimes and Punishments,0.0,11.0,87.5,2014-09,5,-2
1144770,SLUDGE LIFE,0.0,9.39,87.47,2021-06,1,-6
905340,Heave Ho,0.0,13.19,87.47,2019-08,1,-6
1679320,100 hidden cats 2,0.0,1.79,87.43,2021-07,5,-2
601530,Darkarta: A Broken Heart's Quest Collector's Edition,0.0,8.27,87.43,2017-03,5,-2
1012630,Epido,0.0,3.49,87.43,2019-05,14,0
461620,Predynastic Egypt,0.0,8.24,87.41,2016-10,14,0
464060,RUINER,0.0,11.99,87.4,2017-09,1,-6
209000,Batman™: Arkham Origins,0.0,17.99,87.37,2013-10,12,-2
598700,The Vagrant,0.0,2.75,87.34,2018-07,2,-12
910630,Arcade Spirits,0.0,14.99,87.34,2019-02,14,0
534550,Guacamelee! 2,0.0,14.99,87.34,2018-08,5,-2
296870,Dreaming Sarah,0.0,1.79,87.23,2015-03,5,-2
407330,Sakura Dungeon,0.0,18.49,87.2,2016-06,5,-2
465100,LUNA The Shadow Dust,0.0,40.48,87.16,2020-02,1,-13
356190,Middle-earth™: Shadow of War™,0.0,22.99,87.07,2017-10,12,-2
298600,Lovely Planet,0.0,5.12,86.94,2014-07,5,0
1609080,Summer of '58,0.0,5.01,86.88,2021-07,12,-2
313690,LEGO® Batman™ 3: Beyond Gotham,0.0,22.49,86.81,2014-11,12,-2
21000,LEGO® Batman™: The Videogame,0.0,22.49,86.65,2008-09,12,-2
550010,Happy Room,0.0,8.49,86.65,2016-12,5,-2
402330,Press X to Not Die,0.0,2.62,86.54,2017-10,5,-2
562410,Panty Party,0.0,6.79,86.35,2017-01,5,-2
271590,Grand Theft Auto V,0.0,38.63,86.33,2015-04,-9,0
1206060,Happy Game,0.0,13.66,86.31,2021-10,5,-2
208650,Batman™: Arkham Knight,0.0,17.99,86.23,2015-06,12,-2
1750200,Sex and the Furry Titty 2: Sins of the City,0.0,16.49,86.12,2022-09,8,-6
1244460,Jurassic World Evolution 2,0.0,32.99,86.1,2021-11,5,-6
1911390,Knightfall: A Daring Journey,0.0,8.99,85.98,2022-04,7,-7
1129220,"BEARS, VODKA, BALALAIKA! 🐻",0.0,6.89,85.95,2019-11,5,-2
1042490,Call of the Sea,0.0,17.99,85.93,2020-12,12,-2
576770,Low Magic Age,0.0,18.79,85.93,2017-01,14,0
596590,Linked,0.0,2.34,85.92,2017-02,5,-2
1532770,Sex and the Furry Titty,0.0,9.4,85.87,2021-06,8,-6
91600,Sanctum,0.0,6.59,85.83,2011-04,6,-8
609490,Minit,0.0,6.59,85.72,2018-04,1,-6
1297330,Olija,0.0,14.09,85.68,2021-01,1,-6
357070,UBERMOSH,0.0,1.74,85.47,2015-08,7,-7
